Date,Open,High,Low,Close,Volume
02/22/2021,"24.21","26.74","23.21","26.39","19,363,199"
02/19/2021,"18.43","19.05","18.40","18.85","1,163,500"
02/18/2021,"18.85","18.94","18.40","18.54","1,055,600"
02/17/2021,"19.08","19.08","18.65","18.87","1,342,200"
02/12/2021,"18.83","19.16","18.74","19.08","1,571,500"
02/11/2021,"18.64","19.08","18.52","18.88","1,298,500"
02/10/2021,"19.01","19.01","18.43","18.54","1,237,300"
02/09/2021,"19.23","19.23","18.75","19.00","1,535,500"
02/08/2021,"19.40","19.49","19.05","19.21","671,600"
02/05/2021,"19.34","19.45","19.13","19.35","623,200"
02/04/2021,"19.91","19.91","19.18","19.34","1,262,500"
02/03/2021,"19.74","19.82","19.48","19.79","1,059,300"
02/02/2021,"18.89","19.86","18.84","19.64","2,275,700"
02/01/2021,"19.15","19.16","18.62","18.71","1,060,900"
01/29/2021,"19.51","19.51","18.82","18.87","1,391,100"
01/28/2021,"19.15","19.70","18.96","19.60","1,206,800"
01/27/2021,"19.03","19.57","18.87","19.17","1,583,500"
01/26/2021,"19.41","19.69","18.91","19.09","1,097,600"
